num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S019177;10/05/2023;18:00:00;CALL. EZEQUIEL SOLANA / CALL. COLLADOS;1;15;CIUDAD LINEAL;Colisión lateral;Despejado;Turismo;Conductor;De 45 a 49 años;Mujer;14;Sin asistencia sanitaria;445197.912;4475924.516;N;NULL
2023S019178;10/05/2023;18:15:00;PASEO. ZURRON / CALL. ALAR DEL REY;30;21;BARAJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;NULL;NULL;450561.752;4480040.113;N;NULL
2023S019178;10/05/2023;18:15:00;PASEO. ZURRON / CALL. ALAR DEL REY;30;21;BARAJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;NULL;NULL;450561.752;4480040.113;N;NULL
2023S019179;10/05/2023;14:50:00;AVDA. OROVILLA, 46;46;17;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Autobus EMT;Conductor;Desconocido;Desconocido;NULL;NULL;441429.923;4467969.517;N;NULL
2023S019179;10/05/2023;14:50:00;AVDA. OROVILLA, 46;46;17;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Mujer;NULL;NULL;441429.923;4467969.517;N;NULL
2023S019180;10/05/2023;15:10:00;CALL. ORENSE, 53;53;6;TETUÁN;Caída;Despejado;VMU eléctrico;Conductor;De 15 a 17 años;Hombre;2;Ingreso inferior o igual a 24 horas;441095.189;4478611.656;N;NULL
2023S019181;10/05/2023;16:00:00;CALL. DULCE CHACON, 17;17;16;HORTALEZA;Colisión frontal;Despejado;NULL;Conductor;Desconocido;Desconocido;NULL;NULL;443458.754;4481861.662;N;NULL
2023S019181;10/05/2023;16:00:00;CALL. DULCE CHACON, 17;17;16;HORTALEZA;Colisión frontal;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;443458.754;4481861.662;N;NULL
2023S019183;10/05/2023;18:20:00;CALL. PICO CLAVERO, 14;14;13;PUENTE DE VALLECAS;Colisión fronto-lateral;NULL;Bicicleta;Conductor;Desconocido;Desconocido;NULL;NULL;443599.222;4472779.528;N;NULL
2023S019183;10/05/2023;18:20:00;CALL. PICO CLAVERO, 14;14;13;PUENTE DE VALLECAS;Colisión fronto-lateral;NULL;Furgoneta;Conductor;De 45 a 49 años;Hombre;NULL;NULL;443599.222;4472779.528;N;NULL
2023S019184;10/05/2023;20:18:00;AUTOV. M-11 / 1.200 SENTIDO SALIDA;0;15;CIUDAD LINEAL;Alcance;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;443462.557;4481687.224;N;NULL
2023S019184;10/05/2023;20:18:00;AUTOV. M-11 / 1.200 SENTIDO SALIDA;0;15;CIUDAD LINEAL;Alcance;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;443462.557;4481687.224;N;NULL
2023S019186;10/05/2023;14:20:00;PLAZA DE CUZCO/ ALBERTO ALCOCER;0;5;CHAMARTÍN;Colisión fronto-lateral;Despejado;Autobús articulado;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;441507.318;4478885.521;N;NULL
2023S019186;10/05/2023;14:20:00;PLAZA DE CUZCO/ ALBERTO ALCOCER;0;5;CHAMARTÍN;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 25 a 29 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;441507.318;4478885.521;N;NULL
2023S019187;10/05/2023;19:40:00;CALL. LOS YEBENES / CALL. CAMARENA;6;10;LATINA;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;436015.233;4471991.446;N;NULL
2023S019187;10/05/2023;19:40:00;CALL. LOS YEBENES / CALL. CAMARENA;6;10;LATINA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;14;Sin asistencia sanitaria;436015.233;4471991.446;N;NULL
2023S019187;10/05/2023;19:40:00;CALL. LOS YEBENES / CALL. CAMARENA;6;10;LATINA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;436015.233;4471991.446;N;NULL
2023S019188;10/05/2023;19:50:00;CALL. JOAQUIN COSTA / CALL. VELAZQUEZ;47;5;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;442111.047;4477118.812;N;NULL
2023S019188;10/05/2023;19:50:00;CALL. JOAQUIN COSTA / CALL. VELAZQUEZ;47;5;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Conductor;De 60 a 64 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;442111.047;4477118.812;N;NULL
2023S019189;10/05/2023;20:00:00;CALL. ENRIQUE VELASCO / PICOS DE EUROPA;19;13;PUENTE DE VALLECAS;Atropello a persona;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;1;Atención en urgencias sin posterior ingreso;443864.446;4471918.385;N;NULL
